b_id	r_id	score	text	title	name	url	publishedAtDate	lang_original	text_en	processed_text	processed_text_original	processed_text_ca	processed_text_es	nouns_verbs_en	nouns_verbs_ca	nouns_verbs_es	sent_score	center	radius	center1	radius1	consensus	new_score	centroid_left	centroid_right	new_score_right	new_score_left
0	543	5.0		Hostal Totsompops	Oriol Baena Crespo	https://www.google.com/maps/search/?api=1&query=Hostal%20Totsompops&query_place_id=ChIJodoVNER8uhIRhJZDt_1MIcg	2026-02-07T14:45:47.715Z	en									0.0	0.9	0.1	0.9	0.1	0.7538112712975105	4.5	0.8	1.0	5.0	4.0
0	733	5.0		Hostal Totsompops	jordi isart rafecas	https://www.google.com/maps/search/?api=1&query=Hostal%20Totsompops&query_place_id=ChIJodoVNER8uhIRhJZDt_1MIcg	2026-02-04T16:42:30.363Z	en									0.0	0.9	0.1	0.9	0.1	0.7538112712975105	4.5	0.8	1.0	5.0	4.0
0	784	5.0	"5 mesos des de l'última trobada i hem dinat de fàbula. Les croquetes formatge i els musclos ufff!!!. I l'arròs de salsitxes amb un sabor contundent.
Gracies"	Hostal Totsompops	toni artal gracia	https://www.google.com/maps/search/?api=1&query=Hostal%20Totsompops&query_place_id=ChIJodoVNER8uhIRhJZDt_1MIcg	2026-01-31T08:50:04.938Z	ca	5 months since the last meeting and we had a fabulous lunch. Cheese croquettes and mussels ugh!!!. And sausage rice with a strong flavor. thank you	month last meeting fabulous lunch cheese croquette mussel sausage rice strong flavor thank	mes darrera reunió fabulosa dinar formatge croqueta musclo botifarra arròs sabor fort gràcies	mes darrera reunió fabulosa dinar formatge croqueta musclo botifarra arròs sabor fort gràcies	mes último encuentro fabuloso almuerzo queso croqueta mejillón salchicha arroz sabor fuerte gracias	month meeting lunch cheese rice flavor thank	mes reunió dinar formatge arròs sabor gràcies	reunión del mes almuerzo queso arroz sabor gracias	0.8481	0.9	0.1	0.98481	0.015190000000000004	0.7538112712975105	4.924049999999999	0.9696199999999999	1.0	5.0	4.8481
0	39	5.0	Hemos pasado un día en Totsompops y todo ha sido formidable, desde el menú en la comida, una habitación muy agradable y limpia hasta el desayuno “continental del Alt Emporda” y para rematar las buenas sensaciones, el trato muy agradable de Joan y Carme.	Hostal Totsompops	Alfred Àlvarez	https://www.google.com/maps/search/?api=1&query=Hostal%20Totsompops&query_place_id=ChIJodoVNER8uhIRhJZDt_1MIcg	2026-01-23T19:56:18.388Z	es	We spent a day at Totsompops and everything has been fantastic, from the lunch menu, a very nice and clean room to the “Alt Emporda continental” breakfast and to top off the good feelings, the very pleasant treatment from Joan and Carme.	spend day totsompop fantastic lunch menu nice clean room alt breakfast top good feeling pleasant treatment joan carme	pasar el día totsompop fantástico almuerzo menú agradable habitación limpia alt desayuno arriba buenas sensaciones trato agradable joan carme	passar el dia totsompop fantàstic menú dinar agradable sala neta alt esmorzar superior bona sensació tracte agradable joan carme	pasar el día totsompop fantástico almuerzo menú agradable habitación limpia alt desayuno arriba buenas sensaciones trato agradable joan carme	spend day lunch menu room alt breakfast feeling treatment joan carme	passar el dia dinar menú sala alt esmorzar sentiment tractament joan carme	pasar dia almuerzo menu habitacion alt desayuno sentimiento trato joan carme	0.9485	0.9	0.1	0.99485	0.005149999999999999	0.7538112712975105	4.97425	0.9897	1.0	5.0	4.9485
0	12	5.0	El menjar bonissim!	Hostal Totsompops	Agell Jané Nuria	https://www.google.com/maps/search/?api=1&query=Hostal%20Totsompops&query_place_id=ChIJodoVNER8uhIRhJZDt_1MIcg	2025-11-28T18:22:42.925Z	ca	The food is very good!	food good	menjar bo	menjar bo	buena comida	food	menjar	alimento	0.4404	0.9	0.1	0.94404	0.05596	0.7538112712975105	4.7202	0.88808	1.0	5.0	4.4404
0	790	5.0	Restaurant de qualité	Hostal Totsompops	william polizzi	https://www.google.com/maps/search/?api=1&query=Hostal%20Totsompops&query_place_id=ChIJodoVNER8uhIRhJZDt_1MIcg	2025-11-15T15:09:46.918Z	fr	Quality restaurant	restaurant	restaurant	restaurant	restaurante	restaurant	restaurant	restaurante	0.0	0.9	0.1	0.9	0.1	0.7538112712975105	4.5	0.8	1.0	5.0	4.0
0	414	5.0		Hostal Totsompops	Lidia Iborra	https://www.google.com/maps/search/?api=1&query=Hostal%20Totsompops&query_place_id=ChIJodoVNER8uhIRhJZDt_1MIcg	2025-10-18T17:04:58.108Z	en									0.0	0.9	0.1	0.9	0.1	0.7538112712975105	4.5	0.8	1.0	5.0	4.0
0	171	5.0	Gran restaurant . Molt recomanable el menú i el gran servei. Llàstima tants anys sense haver-lo tingut en compte. Gràcies pel gran tracte.	Hostal Totsompops	ENRIC CANET CAPETA	https://www.google.com/maps/search/?api=1&query=Hostal%20Totsompops&query_place_id=ChIJodoVNER8uhIRhJZDt_1MIcg	2025-10-18T07:44:41.402Z	ca	Great restaurant. Highly recommend the menu and the great service. It's a shame so many years without having taken it into account. Thanks for the great deal.	great restaurant highly recommend menu great service shame many year take account thank great deal	gran restaurant molt recomanable menú gran servei vergonya molts anys tenir en compte moltes gràcies	gran restaurant molt recomanable menú gran servei vergonya molts anys tenir en compte moltes gràcies	gran restaurante recomiendo menú gran servicio lástima muchos años tomen en cuenta muchas gracias	restaurant menu service shame year take account thank deal	restaurant menú servei vergonya any tenir compte gràcies tracte	restaurante menú servicio vergüenza año tomar cuenta gracias trato	0.9409	0.9	0.1	0.99409	0.005910000000000005	0.7538112712975105	4.9704500000000005	0.9881800000000001	1.0	5.0	4.9409
0	311	5.0	"Un lloc excel•lent per la qualitat dels seus plats, l'amabilitat i amb un servei tan acurat que és inevitable repetir-hi estada. Tant el menú entre setmana com la carta us farà llepar els dits (literalment). No deu ser casualitat que només d'entrar al poble de Colera ja t'hi trobes quasi assegut a taula. L'ambient i la decoració de l'espai també és molt agradable, curiós, diferent i creatiu. Sou uns artistes!
Els musclos a la planxa, imprescindibles. L'arròs, o el peix o els postres, magnífics.
Aneu-hi amb gana, sinó no podreu fer net el plat.
No hi busqueu pop, però tampoc el trobareu a faltar.
Recomanable: reserveu abans!"	Hostal Totsompops	Joan Julià Joher	https://www.google.com/maps/search/?api=1&query=Hostal%20Totsompops&query_place_id=ChIJodoVNER8uhIRhJZDt_1MIcg	2025-10-16T20:08:38.007Z	ca	An excellent place due to the quality of its dishes, ease of use and with such careful service that it is inevitable to stay there again. Both the weekday menu and the a la carte will have you licking your fingers (literally). It must not be a coincidence that just entering the town of Colera you already find him almost sitting at the table. The atmosphere and decoration of the space is also very pleasant, curious, different and creative. You are artists! Grilled mussels, essential. Larròs, or the fish or the desserts, magnificent. Go there hungry, otherwise you won't be able to clean the plate. Don't look for octopus, but you won't miss it either. Recommended to book in advance!	excellent place due quality dish ease careful service inevitable stay weekday menu carte lick finger literally coincidence enter town colera already find almost sit table atmosphere decoration space also pleasant curious different creative artist grill mussel essential larro fish dessert magnificent go hungry otherwise able clean plate look octopus miss recommend book advance	lloc excel·lent per qualitat plat facilitat servei acurat estada entre setmana menú carta llepar-se el dit literalment coincidència entrar a la ciutat colera ja trobar quasi seure taula ambient decoració espai també agradable curiós diferent artista creatiu graella musclo imprescindible larro peix postres magnífic passar gana si no és capaç de netejar plat mirar pop falta recomanar llibre avançat	lloc excel·lent per qualitat plat facilitat servei acurat estada entre setmana menú carta llepar-se el dit literalment coincidència entrar a la ciutat colera ja trobar quasi seure taula ambient decoració espai també agradable curiós diferent artista creatiu graella musclo imprescindible larro peix postres magnífic passar gana si no és capaç de netejar plat mirar pop falta recomanar llibre avançat	excelente lugar debido calidad plato tranquilidad esmerado servicio inevitable estancia entre semana menú carta lamer dedo literalmente casualidad entrar pueblo colera ya encuentra casi sentarse mesa ambiente decoración espacio también agradable curioso diferente creativo artista parrilla mejillón imprescindible larro pescado postre magnífico pasar hambre por lo demás capaz limpiar plato mirar pulpo señorita recomendar reservar adelantar	place quality dish ease service stay weekday finger coincidence enter town colera find sit table atmosphere decoration space artist grill mussel fish dessert magnificent go plate look recommend book advance	lloc qualitat plat facilitat servei estada entre setmana dit coincidència entrar a la ciutat colera trobar seure taula ambient decoració espai artista graella musclo peix postres magnífic anar plat mirar recomanar reservar avançat	colocar calidad plato facilidad servicio quedarse día laborable dedo coincidencia entrar pueblo colera encontrar sentarse mesa ambiente decoración espacio artista parrilla mejillón pescado postre magnífico ir plato mirar recomendar reservar adelantar	0.9712	0.9	0.1	0.99712	0.002880000000000005	0.7538112712975105	4.9856	0.99424	1.0	5.0	4.9712
0	138	3.0	Comimos correctamente. El producto es bueno, sin embargo, siendo un restaurante en mitad de la calle de Colera no es nada atractivo. La atención correcta pero no amable con el cliente. Un menú de 25€ es caro dado que no había platos elaborados. No lo recomiendo.	Hostal Totsompops	Cristina Cosmen	https://www.google.com/maps/search/?api=1&query=Hostal%20Totsompops&query_place_id=ChIJodoVNER8uhIRhJZDt_1MIcg	2025-10-14T10:45:26.866Z	es	We ate properly. The product is good, however, being a restaurant in the middle of Colera street it is not attractive at all. Correct attention but not friendly to the customer. A €25 menu is expensive given that there were no elaborate dishes. I don't recommend it.	eat properly product good however restaurant middle attractive correct attention friendly customer menu expensive give elaborate dish recommend	comer bien producto bueno sin embargo restaurante medio atractivo correcto atención amable cliente menú caro dar plato elaborado recomendar	menjar bé producte bo però restaurant mitjà atractiu atenció correcta amable menú del client car donar plat elaborat recomanar	comer bien producto bueno sin embargo restaurante medio atractivo correcto atención amable cliente menú caro dar plato elaborado recomendar	eat product restaurant attention customer menu give dish recommend	menjar producte restaurant atenció menú del client donar plat recomanar	comer producto restaurante atención cliente menú dar plato recomendar	0.8885	0.5	0.1	0.58885	0.011150000000000005	0.7538112712975105	2.94425	0.5777	0.6	3.0	2.8885
